date,Close,High,Low,Open,Volume,Ticker
2024-12-26,20.440000534057617,20.670000076293945,20.079999923706055,20.229999542236328,39846200,INTC
2024-12-27,20.299999237060547,20.610000610351562,20.09000015258789,20.209999084472656,48260800,INTC
2024-12-30,19.81999969482422,20.110000610351562,19.729999542236328,20.010000228881836,59608100,INTC
2024-12-31,20.049999237060547,20.399999618530273,19.8799991607666,19.989999771118164,49846700,INTC
2025-01-02,20.219999313354492,20.43000030517578,20.0,20.229999542236328,46438500,INTC
2025-01-03,20.559999465942383,20.670000076293945,20.059999465942383,20.389999389648438,48983900,INTC
2025-01-06,19.8700008392334,20.979999542236328,19.780000686645508,20.829999923706055,83271000,INTC
2025-01-07,20.010000228881836,20.34000015258789,19.899999618530273,20.020000457763672,61726100,INTC
2025-01-08,19.8799991607666,20.1200008392334,19.709999084472656,19.829999923706055,47897100,INTC
2025-01-10,19.149999618530273,19.65999984741211,18.90999984741211,19.65999984741211,71244600,INTC
2025-01-13,19.200000762939453,19.25,18.729999542236328,18.920000076293945,50669000,INTC
2025-01-14,19.200000762939453,19.520000457763672,18.81999969482422,19.360000610351562,47147500,INTC
2025-01-15,19.719999313354492,19.770000457763672,19.170000076293945,19.399999618530273,56306000,INTC
2025-01-16,19.670000076293945,19.950000762939453,19.399999618530273,19.75,44898100,INTC
2025-01-17,21.489999771118164,21.6200008392334,20.790000915527344,21.260000228881836,166483900,INTC
2025-01-21,21.770000457763672,22.40999984741211,21.75,22.030000686645508,96262200,INTC
2025-01-22,21.860000610351562,22.290000915527344,21.56999969482422,21.729999542236328,60972600,INTC
2025-01-23,21.56999969482422,21.75,21.350000381469727,21.690000534057617,55778200,INTC
2025-01-24,20.829999923706055,21.40999984741211,20.75,21.360000610351562,66300600,INTC
2025-01-27,20.290000915527344,21.059999465942383,20.139999389648438,20.809999465942383,83582100,INTC
2025-01-28,19.799999237060547,20.34000015258789,19.739999771118164,20.34000015258789,73411400,INTC
2025-01-29,19.75,20.079999923706055,19.65999984741211,19.8700008392334,86506800,INTC
2025-01-30,20.010000228881836,20.100000381469727,19.43000030517578,19.719999313354492,108167000,INTC
2025-01-31,19.43000030517578,20.329999923706055,19.3799991607666,20.100000381469727,117474900,INTC
2025-02-03,19.3799991607666,19.75,18.780000686645508,18.969999313354492,77523100,INTC
2025-02-04,19.290000915527344,19.530000686645508,19.020000457763672,19.100000381469727,54098200,INTC
2025-02-05,19.649999618530273,19.770000457763672,18.90999984741211,19.190000534057617,66059200,INTC
2025-02-06,19.3799991607666,19.700000762939453,19.219999313354492,19.510000228881836,45553800,INTC
2025-02-07,19.100000381469727,19.360000610351562,19.030000686645508,19.350000381469727,58277900,INTC
2025-02-10,19.770000457763672,20.079999923706055,19.239999771118164,19.25,73007300,INTC
2025-02-11,20.969999313354492,21.8799991607666,19.860000610351562,19.8700008392334,150960700,INTC
2025-02-12,22.479999542236328,22.559999465942383,20.93000030517578,21.979999542236328,162631200,INTC
2025-02-13,24.1299991607666,24.829999923706055,22.790000915527344,22.84000015258789,248661300,INTC
2025-02-14,23.600000381469727,25.190000534057617,22.860000610351562,24.360000610351562,230254100,INTC
2025-02-18,27.389999389648438,27.549999237060547,24.489999771118164,24.600000381469727,284292200,INTC
2025-02-19,25.719999313354492,26.329999923706055,25.459999084472656,25.979999542236328,151881700,INTC
2025-02-20,26.09000015258789,26.1200008392334,24.479999542236328,25.559999465942383,144939600,INTC
2025-02-21,24.8700008392334,26.290000915527344,24.84000015258789,25.959999084472656,111630900,INTC
2025-02-24,24.270000457763672,24.799999237060547,23.6200008392334,24.549999237060547,91358100,INTC
2025-02-25,22.989999771118164,24.280000686645508,22.770000457763672,24.209999084472656,88886500,INTC
2025-02-26,23.520000457763672,23.81999969482422,23.209999084472656,23.25,67449300,INTC
2025-02-27,23.09000015258789,24.399999618530273,23.06999969482422,23.700000762939453,97871900,INTC
2025-02-28,23.729999542236328,24.440000534057617,22.639999389648438,23.020000457763672,104133800,INTC
2025-03-03,22.739999771118164,25.040000915527344,22.520000457763672,25.0,141348700,INTC
2025-03-04,21.329999923706055,22.6299991607666,20.760000228881836,22.540000915527344,152182200,INTC
2025-03-05,20.809999465942383,21.360000610351562,20.18000030517578,21.329999923706055,127219300,INTC
2025-03-06,20.75,21.1299991607666,20.0,20.260000228881836,96466400,INTC
2025-03-07,20.639999389648438,21.200000762939453,20.110000610351562,20.270000457763672,81099600,INTC
2025-03-10,19.93000030517578,20.510000228881836,19.649999618530273,20.239999771118164,82760600,INTC
2025-03-11,19.780000686645508,20.059999465942383,19.290000915527344,19.969999313354492,80789000,INTC
2025-03-12,20.68000030517578,21.170000076293945,20.209999084472656,20.790000915527344,128671100,INTC
2025-03-13,23.700000762939453,24.530000686645508,23.1299991607666,23.5,243261000,INTC
2025-03-14,24.049999237060547,24.3700008392334,23.520000457763672,23.68000030517578,116901600,INTC
2025-03-17,25.690000534057617,26.149999618530273,24.3700008392334,24.420000076293945,160723600,INTC
2025-03-18,25.920000076293945,26.40999984741211,25.389999389648438,25.549999237060547,132488800,INTC
2025-03-19,24.1200008392334,25.229999542236328,24.030000686645508,24.899999618530273,135491400,INTC
2025-03-20,23.959999084472656,24.309999465942383,23.729999542236328,23.770000457763672,68937600,INTC
2025-03-21,24.260000228881836,24.700000762939453,23.489999771118164,23.600000381469727,94110700,INTC
2025-03-24,24.219999313354492,24.989999771118164,24.1299991607666,24.719999313354492,69169000,INTC
2025-03-25,24.200000762939453,24.75,24.110000610351562,24.18000030517578,51743300,INTC
2025-03-26,23.420000076293945,24.420000076293945,23.25,24.25,59496700,INTC
2025-03-27,23.6200008392334,23.760000228881836,22.860000610351562,23.290000915527344,57720600,INTC
2025-03-28,22.709999084472656,23.579999923706055,22.559999465942383,23.350000381469727,58365300,INTC
2025-03-31,22.709999084472656,22.75,21.75,22.3799991607666,65832000,INTC
2025-04-01,22.049999237060547,22.6200008392334,21.65999984741211,22.559999465942383,64060400,INTC
2025-04-02,21.979999542236328,22.3799991607666,21.700000762939453,21.889999389648438,58878800,INTC
2025-04-03,22.43000030517578,23.899999618530273,20.860000610351562,21.399999618530273,242972100,INTC
2025-04-04,19.850000381469727,22.200000762939453,19.700000762939453,21.700000762939453,175014700,INTC
2025-04-07,19.56999969482422,20.670000076293945,18.559999465942383,19.139999389648438,142491200,INTC
2025-04-08,18.1299991607666,20.389999389648438,17.670000076293945,20.059999465942383,163982700,INTC
2025-04-09,21.530000686645508,21.729999542236328,17.979999542236328,18.06999969482422,224183500,INTC
2025-04-10,19.8799991607666,20.81999969482422,19.15999984741211,20.68000030517578,129064900,INTC
2025-04-11,19.739999771118164,19.799999237060547,18.18000030517578,19.25,128425800,INTC
2025-04-14,20.309999465942383,21.049999237060547,19.979999542236328,20.59000015258789,101964400,INTC
2025-04-15,19.850000381469727,20.469999313354492,19.809999465942383,20.200000762939453,64056900,INTC
2025-04-16,19.229999542236328,19.43000030517578,18.719999313354492,19.34000015258789,89469700,INTC
